A[32] B[32] Result[32] OverFlow ALUSel[4] Zero
11111111111111111000000000010101 11111111111111111000000000000000 11111111111111111000000000010101 0 0110 0
11111111111111111000000000010110 11111111111111111000000000000000 11111111111111111000000000010110 0 0110 0
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0 0111 1
11111111111111111000000000000101 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000000110 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000000111 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001000 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001001 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001010 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001011 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001100 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001101 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001110 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000001111 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010000 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010001 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010010 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010011 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010100 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010101 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
11111111111111111000000000010110 11111111111111111000000000000000 11111111111111111000000000000000 0 0111 0
00000000000000000000000000000000 00000000000000000000000000000000 00000000000000000000000000000000 0 0100 1
11111111111111111000000000000101 11111111111111111000000000000000 00000000000000000000000000000101 0 0100 0
11111111111111111000000000000110 11111111111111111000000000000000 00000000000000000000000000000110 0 0100 0
11111111111111111000000000000111 11111111111111111000000000000111 00000000000000000000000000000000 0 0100 1
11111111111111111000000000001000 11111111111111111000000000000000 00000000000000000000000000001000 0 0100 0
11111111111111111000000000001001 11111111111111111000000000000000 00000000000000000000000000001001 0 0100 0
11111111111111111000000000001010 11111111111111111000000000000000 00000000000000000000000000001010 0 0100 0
11111111111111111000000000001011 11111111111111111000000000000000 00000000000000000000000000001011 0 0100 0
11111111111111111000000000001100 11111111111111111000000000000000 00000000000000000000000000001100 0 0100 0
11111111111111111000000000001101 11111111111111111000000000000000 00000000000000000000000000001101 0 0100 0
11111111111111111000000000001110 11111111111111111000000000000000 00000000000000000000000000001110 0 0100 0
11111111111111111000000000001111 11111111111111111000000000000000 00000000000000000000000000001111 0 0100 0
11111111111111111000000000010000 11111111111111111000000000000000 00000000000000000000000000010000 0 0100 0
11111111111111111000000000010001 11111111111111111000000000000000 00000000000000000000000000010001 0 0100 0
11111111111111111000000000010010 11111111111111111000000000000000 00000000000000000000000000010010 0 0100 0
11111111111111111000000000010011 11111111111111111000000000000000 00000000000000000000000000010011 0 0100 0
11111111111111111000000000010100 11111111111111111000000000000000 00000000000000000000000000010100 0 0100 0
11111111111111111000000000010101 11111111111111111000000000000000 00000000000000000000000000010101 0 0100 0
11111111111111111000000000010110 11111111111111111000000000000010 00000000000000000000000000010100 0 0100 0
